Date,fx_kes_usd
,USDKES=X
2003-12-01,75.69999694824219
2003-12-02,75.58000183105469
2003-12-03,76.05000305175781
2003-12-04,76.30000305175781
2003-12-05,75.9000015258789
2003-12-08,75.93000030517578
2003-12-09,75.5999984741211
2003-12-10,75.2699966430664
2003-12-11,75.44999694824219
2003-12-12,75.4000015258789
2003-12-15,75.47000122070312
2003-12-16,75.55000305175781
2003-12-17,75.76000213623047
2003-12-18,75.5
2003-12-19,75.4000015258789
2003-12-22,75.30000305175781
2003-12-23,75.44999694824219
2003-12-24,75.25
2003-12-25,75.25
2003-12-29,75.75
2003-12-30,75.75
2003-12-31,75.75
2004-01-01,75.75
2004-01-02,75.69999694824219
2004-01-05,75.83000183105469
2004-01-06,75.72000122070312
2004-01-07,75.72000122070312
2004-01-08,75.6500015258789
2004-01-09,75.68000030517578
2004-01-12,75.68000030517578
2004-01-13,75.62999725341797
2004-01-14,75.87000274658203
2004-01-15,75.87000274658203
2004-01-16,75.80000305175781
2004-01-19,75.9000015258789
2004-01-20,76.0
2004-01-21,76.25
2004-01-22,76.4000015258789
2004-01-23,76.08000183105469
2004-01-26,76.08000183105469
2004-01-27,76.08000183105469
2004-01-28,76.0999984741211
2004-01-29,76.05000305175781
2004-01-30,76.1500015258789
2004-02-02,76.1500015258789
2004-02-03,76.10399627685547
2004-02-04,76.0
2004-02-05,76.0
2004-02-06,76.0
2004-02-09,75.97000122070312
2004-02-10,75.9000015258789
2004-02-11,76.05000305175781
2004-02-12,76.05000305175781
2004-02-13,76.05000305175781
2004-02-16,76.0
2004-02-17,75.8499984741211
2004-02-18,75.8499984741211
2004-02-19,76.0
2004-02-20,75.99400329589844
2004-02-23,76.0
2004-02-24,76.05999755859375
2004-02-25,76.05999755859375
2004-02-26,76.02999877929688
2004-02-27,76.0999984741211
2004-03-01,76.05000305175781
2004-03-02,76.05000305175781
2004-03-03,76.3499984741211
2004-03-04,76.25
2004-03-05,76.4530029296875
2004-03-08,76.44999694824219
2004-03-09,76.5999984741211
2004-03-10,76.55000305175781
2004-03-11,76.6500015258789
2004-03-12,76.63999938964844
2004-03-15,76.94999694824219
2004-03-16,77.1500015258789
2004-03-17,77.25
2004-03-18,77.25
2004-03-19,77.19999694824219
2004-03-22,77.5999984741211
2004-03-23,77.69999694824219
2004-03-24,77.3499984741211
2004-03-25,77.58999633789062
2004-03-26,77.58999633789062
2004-03-29,77.58999633789062
2004-03-30,77.58999633789062
2004-03-31,77.4000015258789
2004-04-01,77.3499984741211
2004-04-02,77.3499984741211
2004-04-05,77.3499984741211
2004-04-06,77.3499984741211
2004-04-07,77.3499984741211
2004-04-08,77.3499984741211
2004-04-09,77.3499984741211
2004-04-13,77.1500015258789
2004-04-14,77.1500015258789
2004-04-15,77.25
2004-04-16,77.4000015258789
2004-04-19,77.5999984741211
2004-04-20,78.0
2004-04-21,77.83000183105469
2004-04-22,77.83000183105469
2004-04-23,77.83000183105469
2004-04-26,77.8499984741211
2004-04-27,78.0
2004-04-28,78.05000305175781
2004-04-29,77.8499984741211
2004-04-30,77.9800033569336
2004-05-03,77.9800033569336
2004-05-04,77.9000015258789
2004-05-05,77.9000015258789
2004-05-06,78.0999984741211
2004-05-07,78.26200103759766
2004-05-10,78.75
2004-05-11,78.75
2004-05-12,78.75
2004-05-13,78.68000030517578
2004-05-14,78.7699966430664
2004-05-17,79.30000305175781
2004-05-18,79.27999877929688
2004-05-19,79.6500015258789
2004-05-20,79.6500015258789
2004-05-21,79.30000305175781
2004-05-24,79.30000305175781
2004-05-25,79.55000305175781
2004-05-26,79.55000305175781
2004-05-27,79.4000015258789
2004-05-28,79.0
2004-05-31,79.0
2004-06-01,78.8499984741211
2004-06-02,78.8499984741211
2004-06-03,78.4800033569336
2004-06-04,78.47000122070312
2004-06-07,78.65299987792969
2004-06-08,79.0
2004-06-09,79.25
2004-06-10,78.8499984741211
2004-06-11,78.68499755859375
2004-06-14,78.8499984741211
2004-06-15,79.02999877929688
2004-06-16,79.02999877929688
2004-06-17,79.02999877929688
2004-06-18,79.02999877929688
2004-06-21,79.02999877929688
2004-06-22,79.02999877929688
2004-06-23,78.97000122070312
2004-06-24,78.9000015258789
2004-06-25,78.9000015258789
2004-06-28,78.9000015258789
2004-06-29,78.9000015258789
2004-06-30,79.05000305175781
2004-07-01,78.8499984741211
2004-07-02,79.0459976196289
2004-07-05,79.30000305175781
2004-07-06,79.3499984741211
2004-07-07,79.44999694824219
2004-07-08,79.44999694824219
2004-07-09,79.3499984741211
2004-07-12,79.30000305175781
2004-07-13,79.30000305175781
2004-07-14,79.5
2004-07-15,79.6500015258789
2004-07-16,79.66699981689453
2004-07-19,79.62999725341797
2004-07-20,79.6500015258789
2004-07-21,79.9000015258789
2004-07-22,79.8499984741211
2004-07-23,80.05000305175781
2004-07-26,80.05000305175781
2004-07-27,80.05000305175781
2004-07-28,80.05000305175781
2004-07-29,80.05000305175781
2004-07-30,80.05000305175781
2004-08-02,80.0
2004-08-03,79.9000015258789
2004-08-04,79.9000015258789
2004-08-05,79.9000015258789
2004-08-06,79.9000015258789
2004-08-09,80.0
2004-08-10,80.02999877929688
2004-08-11,80.02999877929688
2004-08-12,80.19999694824219
2004-08-13,80.47899627685547
2004-08-16,80.58000183105469
2004-08-17,80.5999984741211
2004-08-18,80.5
2004-08-19,80.55000305175781
2004-08-20,80.77999877929688
2004-08-23,80.9000015258789
2004-08-24,81.05000305175781
2004-08-25,82.19999694824219
2004-08-26,80.24299621582031
2004-08-27,80.08100128173828
